Job Class,Percentage,Link
Management,6.1,https://www.thebalance.com/sample-manager-job-description-1919126
Business and Financial operations,5,https://www.floridatechonline.com/blog/accounting-finance/finance-operations-director-career-and-salary-profile/
Computer and Mathematical,2.7,https://www.truity.com/career-profile/mathematician
Architecture and Engineering,1.7,http://study.com/articles/Architectural_Engineers_Job_Description_and_Requirements_for_a_Career_in_Architectural_Engineering.html
"Life, Physical and Social Science",0.9,https://www.bls.gov/ooh/life-physical-and-social-science/home.htm
Community and Social Service,1.6,https://www.floridatechonline.com/blog/psychology/community-and-social-service-specialist-career-and-salary-profile/
Legal,0.8,http://www.snagajob.com/job-descriptions/legal-secretary/
"Education, training and library",6.1,https://www.governmentjobs.com/jobs?keyword=Education%2C%20Training%20%26%20Library
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,https://hiring.monster.com/hr/hr-best-practices/recruiting-hiring-advice/job-descriptions/health-practitioners-and-technical-workers-other-job-description.aspx
Healthcare support,2.8,https://www.mightyrecruiter.com/job-descriptions/healthcare-support-workers/
Protective service,2.3,http://study.com/articles/Protective_Service_Worker_Job_Description_and_Education_Requirements.html
Food preparation and serving,8.3,http://www.snagajob.com/job-descriptions/food-server/
Building and grounds cleaning and maintenance,3.7,http://www.co.champaign.il.us/descript/asd/bu/BLDG-GDS.HTM
Personal care and service,4,http://www.myplan.com/careers/personal-care-aides/description-39-9021.00.html
Sales,10.2,http://www.snagajob.com/job-descriptions/sales-representative/
Office and administrative support,15.1,https://resources.workable.com/administrative-assistant-job-description
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://www.bls.gov/ooh/construction-and-extraction/home.htm
"Installation, maintenance and repair",3.8,https://job-descriptions.careerplanner.com/Helpers-Installation-Maintenance-and-Repair-Workers.cfm
Production,6.1,https://nationalcareersservice.direct.gov.uk/job-profiles/production-worker-(manufacturing)
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8,
